Delta X	Delta X%	Delta Y	Delta Y%	sum X	sum Y	sum X/N	sum Y/N	Percento X	Percento Y	Draha etalon	Draha entropy	Rozdiel drah	Rozdiel drah %
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
29,00	5,03	17,00	2,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	12,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
27,00	4,69	6,00	0,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
27,00	4,69	6,00	0,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
27,00	4,69	6,00	0,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
27,00	4,69	6,00	0,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
27,00	4,69	6,00	0,78	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	7,00	0,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	7,00	0,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	7,00	0,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	7,00	0,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
28,00	4,86	7,00	0,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
