Delta X	Delta X%	Delta Y	Delta Y%	sum X	sum Y	sum X/N	sum Y/N	Percento X	Percento Y	Draha etalon	Draha background_correction	Rozdiel drah	Rozdiel drah %
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	75,00	9,77	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	80,00	10,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	94,00	12,24	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	94,00	12,24	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	94,00	12,24	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	94,00	12,24	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	95,00	12,37	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	99,00	12,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	92,00	11,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	92,00	11,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	92,00	11,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	92,00	11,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
79,00	13,72	92,00	11,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
